datetime,symbol,open,high,low,close,volume
2023-01-27 09:15:00,NSE:AARTISURF,574.95001,576.0,555.5,558.84998,13420.0
2023-01-30 09:15:00,NSE:AARTISURF,564.34998,565.0,544.0,549.95001,19341.0
2023-01-31 09:15:00,NSE:AARTISURF,555.0,555.0,532.04999,541.70001,20207.0
2023-02-01 09:15:00,NSE:AARTISURF,541.75,559.0,537.0,545.95001,17825.0
2023-02-02 09:15:00,NSE:AARTISURF,545.95001,555.0,541.65002,549.0,8133.0
2023-02-03 09:15:00,NSE:AARTISURF,554.45001,557.54999,499.14999,530.40002,39228.0
2023-02-06 09:15:00,NSE:AARTISURF,530.40002,530.40002,516.09998,519.40002,11065.0
2023-02-07 09:15:00,NSE:AARTISURF,524.54999,525.90002,512.0,517.20001,12063.0
2023-02-08 09:15:00,NSE:AARTISURF,522.29999,537.54999,518.45001,525.34998,10093.0
2023-02-09 09:15:00,NSE:AARTISURF,529.25,540.04999,515.0,517.59998,14754.0
2023-02-10 09:15:00,NSE:AARTISURF,534.70001,605.04999,526.20001,543.04999,408088.0
2023-02-13 09:15:00,NSE:AARTISURF,548.90002,577.75,543.04999,552.25,57379.0
2023-02-14 09:15:00,NSE:AARTISURF,557.79999,557.79999,531.04999,537.45001,18328.0
2023-02-15 09:15:00,NSE:AARTISURF,535.0,547.0,535.0,541.25,7418.0
2023-02-16 09:15:00,NSE:AARTISURF,541.25,548.0,539.34998,542.0,8444.0
2023-02-17 09:15:00,NSE:AARTISURF,544.40002,544.70001,539.09998,542.04999,4044.0
2023-02-20 09:15:00,NSE:AARTISURF,544.0,544.0,530.09998,535.25,4117.0
2023-02-21 09:15:00,NSE:AARTISURF,535.0,535.45001,529.0,530.20001,4073.0
2023-02-22 09:15:00,NSE:AARTISURF,525.25,529.79999,520.0,521.15002,4286.0
2023-02-23 09:15:00,NSE:AARTISURF,521.15002,528.75,518.59998,519.90002,4588.0
2023-02-24 09:15:00,NSE:AARTISURF,523.95001,536.70001,520.90002,525.54999,7326.0
2023-02-27 09:15:00,NSE:AARTISURF,525.54999,527.15002,512.04999,515.20001,6605.0
2023-02-28 09:15:00,NSE:AARTISURF,515.0,518.45001,510.0,511.0,4578.0
2023-03-01 09:15:00,NSE:AARTISURF,515.0,524.84998,512.5,519.95001,4003.0
2023-03-02 09:15:00,NSE:AARTISURF,521.45001,525.0,520.0,521.25,3185.0
2023-03-03 09:15:00,NSE:AARTISURF,525.0,534.5,518.20001,524.75,7499.0
2023-03-06 09:15:00,NSE:AARTISURF,528.0,532.0,518.09998,521.5,9186.0
2023-03-08 09:15:00,NSE:AARTISURF,518.59998,530.0,518.45001,523.90002,8139.0
2023-03-09 09:15:00,NSE:AARTISURF,530.15002,549.84998,528.04999,535.75,22684.0
2023-03-10 09:15:00,NSE:AARTISURF,526.65002,533.5,522.0,524.65002,5879.0
2023-03-13 09:15:00,NSE:AARTISURF,522.5,528.0,508.04999,511.95001,6911.0
2023-03-14 09:15:00,NSE:AARTISURF,516.0,516.0,492.0,499.35001,20591.0
2023-03-15 09:15:00,NSE:AARTISURF,504.25,509.54999,494.0,496.35001,7300.0
2023-03-16 09:15:00,NSE:AARTISURF,487.0,496.29999,483.0,485.85001,9428.0
2023-03-17 09:15:00,NSE:AARTISURF,492.0,499.85001,479.95001,483.64999,12340.0
2023-03-20 09:15:00,NSE:AARTISURF,485.5,492.39999,457.5,462.54999,35559.0
2023-03-21 09:15:00,NSE:AARTISURF,467.14999,496.0,467.14999,479.14999,40138.0
2023-03-22 09:15:00,NSE:AARTISURF,479.14999,487.14999,466.20001,468.85001,24113.0
2023-03-23 09:15:00,NSE:AARTISURF,468.85001,484.04999,465.0,467.64999,36857.0
2023-03-24 09:15:00,NSE:AARTISURF,468.10001,473.20001,455.10001,459.85001,23778.0
2023-03-27 09:15:00,NSE:AARTISURF,460.0,460.64999,440.0,442.25,21582.0
2023-03-28 09:15:00,NSE:AARTISURF,442.25,446.64999,418.04999,420.5,20828.0
2023-03-29 09:15:00,NSE:AARTISURF,420.25,443.95001,420.25,432.35001,33007.0
